Name,Address,Tel,lat,lon,tag,Name_en,Address_en,Tag_en,Name_id,Address_id,Tag_id
巴基斯坦廚房,基隆市中正區信三路25號,-955,25.132774,121.7451693,清真,巴基斯坦廚房 (Pakistani Kitchen),Keelung City Zhongzheng District 信三路25號,Halal,巴基斯坦廚房 (Pakistan Dapur),Kota Keelung Distrik Zhongzheng 信三路25號,Halal
印度香料王餐廳  ,臺北市中山區玉門街1號(臺北市圓山花博公園集食行樂廣場),-8673,25.0697435,121.5221519,清真,印度香料王餐廳 (Indian Restaurant),Taipei City Zhongshan District 玉門街1號(臺北市圓山花博公園集食行樂廣場),Halal,印度香料王餐廳 (India Restoran),Kota Taipei Distrik Zhongshan 玉門街1號(臺北市圓山花博公園集食行樂廣場),Halal
阿巴得印度廚房,臺北市松山區光復北路130號,-2102,25.0519736,121.5571104,清真,阿巴得印度廚房 (Indian Kitchen),Taipei City Songshan District 光復北路130號,Halal,阿巴得印度廚房 (India Dapur),Kota Taipei Distrik Songshan 光復北路130號,Halal
阿里巴巴的廚房,臺北市中山區南京東路二段56號2樓,-8846,25.0518773,121.5298145,清真,阿里巴巴的廚房 (Kitchen),Taipei City Zhongshan District 南京東路二段56號2樓,Halal,阿里巴巴的廚房 (Dapur),Kota Taipei Distrik Zhongshan 南京東路二段56號2樓,Halal
泰姬印度餐廳,臺北市大安區市民大道四段48巷1號,-8064,25.0447362,121.5458423,清真,泰姬印度餐廳 (Indian Taj Restaurant),Taipei City Da’an District 市民大道四段48巷1號,Halal,泰姬印度餐廳 (India Taj Restoran),Kota Taipei Distrik Daan 市民大道四段48巷1號,Halal
張家清真黃牛肉麵館,臺北市中正區延平南路21號,-4238,25.045725,121.510765,清真,張家清真黃牛肉麵館 (Halal Beef Noodles Beef Noodle House Noodles),Taipei City Zhongzheng District 延平南路21號,Halal,張家清真黃牛肉麵館 (Halal Mi Daging Sapi Daging Sapi Rumah Mie Mie),Kota Taipei Distrik Zhongzheng 延平南路21號,Halal
清真昆明園餐廳,臺北市松山區復興北路81巷26號,-8643,25.0510673,121.545166,清真,清真昆明園餐廳 (Halal Restaurant),Taipei City Songshan District 復興北路81巷26號,Halal,清真昆明園餐廳 (Halal Restoran),Kota Taipei Distrik Songshan 復興北路81巷26號,Halal
清真泰富豪,臺北市松山區北寧路36號,-2223,25.0494732,121.5527725,清真,清真泰富豪 (Halal),Taipei City Songshan District 北寧路36號,Halal,清真泰富豪 (Halal),Kota Taipei Distrik Songshan 北寧路36號,Halal
清真黃牛肉麵館,臺北市中正區延平南路23號,-9650,25.0456123,121.5107851,清真,清真黃牛肉麵館 (Halal Beef Noodles Beef Noodle House Noodles),Taipei City Zhongzheng District 延平南路23號,Halal,清真黃牛肉麵館 (Halal Mi Daging Sapi Daging Sapi Rumah Mie Mie),Kota Taipei Distrik Zhongzheng 延平南路23號,Halal
莎堤亞印度料理,臺北市中正區信義路二段195號2樓,-3972,25.0342592,121.5296359,清真,莎堤亞印度料理 (Indian),Taipei City Zhongzheng District 信義路二段195號2樓,Halal,莎堤亞印度料理 (India),Kota Taipei Distrik Zhongzheng 信義路二段195號2樓,Halal
番紅花城土耳其餐廳,臺北市中山區南京東路二段60號,-4577,25.051831,121.529944,清真,番紅花城土耳其餐廳 (Turkish Restaurant),Taipei City Zhongshan District 南京東路二段60號,Halal,番紅花城土耳其餐廳 (Turki Restoran),Kota Taipei Distrik Zhongshan 南京東路二段60號,Halal
塔吉摩洛哥料理,臺北市大安區基隆路二段144巷3號1樓,-9144,25.0283333,121.5563889,清真,塔吉摩洛哥料理 (Moroccan),Taipei City Da’an District 基隆路二段144巷3號1樓,Halal,塔吉摩洛哥料理 (Maroko),Kota Taipei Distrik Daan 基隆路二段144巷3號1樓,Halal
羅亞咖啡&餐廳,臺北市大安區新生南路二段72號1樓,-2790,25.0275671,121.5344645,清真,羅亞咖啡&餐廳 (Cafe Restaurant),Taipei City Da’an District 新生南路二段72號1樓,Halal,羅亞咖啡&餐廳 (Kafe Restoran),Kota Taipei Distrik Daan 新生南路二段72號1樓,Halal
饗印印度巴基斯坦料理餐廳,臺北市信義區基隆路一段366號,-17268,25.0409201,121.5720055,清真,饗印印度巴基斯坦料理餐廳 (Pakistani Indian Restaurant),Taipei City Xinyi District 基隆路一段366號,Halal,饗印印度巴基斯坦料理餐廳 (Pakistan India Restoran),Kota Taipei Distrik Xinyi 基隆路一段366號,Halal
原味德里北車店,臺北市中正區北平西路3號2樓,+886-2-6632-8999#2534,25.0477467,121.5169983,清真,原味德里北車店,Taipei City Zhongzheng District 北平西路3號2樓,Halal,原味德里北車店,Kota Taipei Distrik Zhongzheng 北平西路3號2樓,Halal
酷思多披薩,臺北市中正區連雲街74-1號,-8475,25.0342863,121.5299596,清真,酷思多披薩 (Pizza),Taipei City Zhongzheng District 連雲街74-1號,Halal,酷思多披薩 (Pizza),Kota Taipei Distrik Zhongzheng 連雲街74-1號,Halal
